ticker,as_of_date,relative_strength_6m,earnings_revision,fcf_yield,debt_to_ebitda,volatility_6m
WAL,2026-05-31,0.03320793877286299,0.0,-0.1901895919435735,4.976548215279434,0.3608297981869147
VLY,2026-05-31,0.3039772727272727,0.0,0.0726224959896718,3.16674235820223,0.26429925667733917
FNB,2026-05-31,0.1402478799739073,0.0,0.07489252485943537,5.058142708958891,0.24044214302199016
GTLS,2026-05-31,0.04118236472945891,0.0,0.0010152640043653602,7.69978118380744,0.025239377954957735
FIX,2026-05-31,1.2160121212121213,0.0,0.021476279311275777,-0.3874731796024783,0.5705566197643342
ATKR,2026-05-31,0.21904902105108182,0.0,0.05254576347462823,12.12613842622682,0.39966763533018634
POR,2026-05-31,0.09432314410480358,0.0,0.011378549943800307,4.360670194003528,0.18864587312672035
OGS,2026-05-31,-0.05471789883268485,0.0,-0.0449821580337627,4.277018008609491,0.16700209543270797
AVA,2026-05-31,0.0688144329896907,0.0,0.12168025735735095,4.909774436090226,0.18236803711733474
